% X-coord, Y-coord, Polarization, wavelength, type, deviceID, params 
1391, 8054, TE, 1550, device, mehmetunlu_DelayLineD03V01
1400, 6880, TE, 1550, device, mehmetunlu_heatertransitionvtest03D02
1400, 7095, TE, 1550, device, mehmetunlu_heatertransitionv03
1403, 6034, TE, 1550, device, fustunerF
1403, 5078, TE, 1550, device, fustunerD
1403, 4598, TE, 1550, device, fustunerC
1403, 4120, TE, 1550, device, fustunerB
1406, 2543, TE, 1550, device, MZI
1845, 6472, TE, 1550, device, MZIwithHeater
1394, 2209, TE, 1550, device, avram5_thermoL20rad015gap35curve
1394, 1731, TE, 1550, device, avram5_thermoK20rad015gap30curve
1394, 1253, TE, 1550, device, avram5_thermoJI20rad015gap25curve
1394, 775, TE, 1550, device, avram5_thermoI20rad015gap24top
946, 7467, TE, 1550, device, avram5_thermoF20rad015gap18top
1381, 6560, TE, 1550, device, ik_ThermoOpticPhaseShifter
1403, 3642, TE, 1550, device, fustunerA
817, 2840, TE, 1550, device, HangZou1_TE_1550_eskid_340nm_300nm_80
762, 2840, TE, 1550, device, HangZou1_TE_1550_eskid_340nm_300nm_70
872, 2685, TE, 1550, device, HangZou1_TE_1550_eskid_300nm_300nm_80
817, 2530, TE, 1550, device, HangZou1_TE_1550_eskid_300nm_300nm_60
762, 2530, TE, 1550, device, HangZou1_TE_1550_eskid_300nm_300nm_50
872, 2530, TE, 1550, device, HangZou1_TE_1550_eskid_300nm_300nm_70
707, 2530, TE, 1550, device, HangZou1_TE_1550_eskid_300nm_300nm_40
542, 2685, TE, 1550, device, HangZou1_TE_1550_eskid_320nm_300nm_30
652, 2530, TE, 1550, device, HangZou1_TE_1550_eskid_300nm_300nm_30
597, 2685, TE, 1550, device, HangZou1_TE_1550_eskid_320nm_300nm_40
597, 2530, TE, 1550, device, HangZou1_TE_1550_eskid_300nm_300nm_20
707, 2840, TE, 1550, device, HangZou1_TE_1550_eskid_340nm_300nm_60
487, 2530, TE, 1550, device, HangZou1_TE_1550_eskid_ref_300nm_300nm
652, 2840, TE, 1550, device, HangZou1_TE_1550_eskid_340nm_300nm_50
542, 2530, TE, 1550, device, HangZou1_TE_1550_eskid_ref_320nm_300nm
762, 2685, TE, 1550, device, HangZou1_TE_1550_eskid_320nm_300nm_70
872, 2840, TE, 1550, device, HangZou1_TE_1550_eskid_ref_340nm_300nm
817, 2685, TE, 1550, device, HangZou1_TE_1550_eskid_320nm_300nm_80
707, 2685, TE, 1550, device, HangZou1_TE_1550_eskid_320nm_300nm_60
652, 2685, TE, 1550, device, HangZou1_TE_1550_eskid_320nm_300nm_50
487, 2685, TE, 1550, device, HangZou1_TE_1550_eskid_320nm_300nm_20
487, 2840, TE, 1550, device, HangZou1_TE_1550_eskid_340nm_300nm_20
542, 2840, TE, 1550, device, HangZou1_TE_1550_eskid_340nm_300nm_30
597, 2840, TE, 1550, device, HangZou1_TE_1550_eskid_340nm_300nm_40
424, 5230, TE, 1550, device, HangZou1_TE_1550_eskid_ref_340nm_200nm
94, 4920, TE, 1550, device, HangZou1_TE_1550_eskid_ref_320nm_200nm
149, 5075, TE, 1550, device, HangZou1_TE_1550_eskid_320nm_200nm_40
424, 4920, TE, 1550, device, HangZou1_TE_1550_eskid_300nm_200nm_70
94, 5075, TE, 1550, device, HangZou1_TE_1550_eskid_320nm_200nm_30
39, 5230, TE, 1550, device, HangZou1_TE_1550_eskid_340nm_200nm_20
314, 5075, TE, 1550, device, HangZou1_TE_1550_eskid_320nm_200nm_70
94, 5230, TE, 1550, device, HangZou1_TE_1550_eskid_340nm_200nm_30
259, 5075, TE, 1550, device, HangZou1_TE_1550_eskid_320nm_200nm_60
149, 5230, TE, 1550, device, HangZou1_TE_1550_eskid_340nm_200nm_40
259, 4920, TE, 1550, device, HangZou1_TE_1550_eskid_300nm_200nm_40
204, 5230, TE, 1550, device, HangZou1_TE_1550_eskid_340nm_200nm_50
314, 4920, TE, 1550, device, HangZou1_TE_1550_eskid_300nm_200nm_50
39, 5075, TE, 1550, device, HangZou1_TE_1550_eskid_320nm_200nm_20
39, 4920, TE, 1550, device, HangZou1_TE_1550_eskid_ref_300nm_200nm
259, 5230, TE, 1550, device, HangZou1_TE_1550_eskid_340nm_200nm_60
314, 5230, TE, 1550, device, HangZou1_TE_1550_eskid_340nm_200nm_70
369, 5230, TE, 1550, device, HangZou1_TE_1550_eskid_340nm_200nm_80
424, 5075, TE, 1550, device, HangZou1_TE_1550_eskid_300nm_200nm_80
204, 5075, TE, 1550, device, HangZou1_TE_1550_eskid_320nm_200nm_50
369, 4920, TE, 1550, device, HangZou1_TE_1550_eskid_300nm_200nm_60
369, 5075, TE, 1550, device, HangZou1_TE_1550_eskid_320nm_200nm_80
204, 4920, TE, 1550, device, HangZou1_TE_1550_eskid_300nm_200nm_30
149, 4920, TE, 1550, device, HangZou1_TE_1550_eskid_300nm_200nm_20
498, 6664, TE, 1550, device, MicroringResonatorwithRingHeater
498, 6357, TE, 1550, device, UnbalancedMZI
505, 8435, TE, 1550, device, DongshengLyuTO1
1835, 2325, TE, 1550, device, mehmetunlu_GCto1DGW1x1v01
369, 7620, TE, 1550, device, HangZou1_TE_1550_eskid_460nm_200nm_80
314, 7620, TE, 1550, device, HangZou1_TE_1550_eskid_460nm_200nm_70
424, 7465, TE, 1550, device, HangZou1_TE_1550_eskid_420nm_200nm_80
424, 7310, TE, 1550, device, HangZou1_TE_1550_eskid_420nm_200nm_70
259, 7310, TE, 1550, device, HangZou1_TE_1550_eskid_420nm_200nm_40
369, 7310, TE, 1550, device, HangZou1_TE_1550_eskid_420nm_200nm_60
39, 7620, TE, 1550, device, HangZou1_TE_1550_eskid_460nm_200nm_20
204, 7310, TE, 1550, device, HangZou1_TE_1550_eskid_420nm_200nm_30
314, 7310, TE, 1550, device, HangZou1_TE_1550_eskid_420nm_200nm_50
39, 7465, TE, 1550, device, HangZou1_TE_1550_eskid_440nm_200nm_20
149, 7310, TE, 1550, device, HangZou1_TE_1550_eskid_420nm_200nm_20
39, 7310, TE, 1550, device, HangZou1_TE_1550_eskid_ref_420nm_200nm
94, 7310, TE, 1550, device, HangZou1_TE_1550_eskid_ref_440nm_200nm
149, 7620, TE, 1550, device, HangZou1_TE_1550_eskid_460nm_200nm_40
424, 7620, TE, 1550, device, HangZou1_TE_1550_eskid_ref_460nm_200nm
94, 7620, TE, 1550, device, HangZou1_TE_1550_eskid_460nm_200nm_30
369, 7465, TE, 1550, device, HangZou1_TE_1550_eskid_440nm_200nm_80
204, 7620, TE, 1550, device, HangZou1_TE_1550_eskid_460nm_200nm_50
314, 7465, TE, 1550, device, HangZou1_TE_1550_eskid_440nm_200nm_70
259, 7620, TE, 1550, device, HangZou1_TE_1550_eskid_460nm_200nm_60
259, 7465, TE, 1550, device, HangZou1_TE_1550_eskid_440nm_200nm_60
149, 7465, TE, 1550, device, HangZou1_TE_1550_eskid_440nm_200nm_40
204, 7465, TE, 1550, device, HangZou1_TE_1550_eskid_440nm_200nm_50
94, 7465, TE, 1550, device, HangZou1_TE_1550_eskid_440nm_200nm_30
946, 8423, TE, 1550, device, avram5_thermoH20rad015gap22top
369, 7142, TE, 1550, device, HangZou1_TE_1550_eskid_400nm_200nm_80
314, 7142, TE, 1550, device, HangZou1_TE_1550_eskid_400nm_200nm_70
369, 6832, TE, 1550, device, HangZou1_TE_1550_eskid_360nm_200nm_60
259, 6832, TE, 1550, device, HangZou1_TE_1550_eskid_360nm_200nm_40
314, 6832, TE, 1550, device, HangZou1_TE_1550_eskid_360nm_200nm_50
424, 6832, TE, 1550, device, HangZou1_TE_1550_eskid_360nm_200nm_70
424, 6987, TE, 1550, device, HangZou1_TE_1550_eskid_360nm_200nm_80
204, 6832, TE, 1550, device, HangZou1_TE_1550_eskid_360nm_200nm_30
149, 6987, TE, 1550, device, HangZou1_TE_1550_eskid_380nm_200nm_40
149, 6832, TE, 1550, device, HangZou1_TE_1550_eskid_360nm_200nm_20
204, 6987, TE, 1550, device, HangZou1_TE_1550_eskid_380nm_200nm_50
39, 6832, TE, 1550, device, HangZou1_TE_1550_eskid_ref_360nm_200nm
204, 7142, TE, 1550, device, HangZou1_TE_1550_eskid_400nm_200nm_50
94, 6832, TE, 1550, device, HangZou1_TE_1550_eskid_ref_380nm_200nm
149, 7142, TE, 1550, device, HangZou1_TE_1550_eskid_400nm_200nm_40
424, 7142, TE, 1550, device, HangZou1_TE_1550_eskid_ref_400nm_200nm
369, 6987, TE, 1550, device, HangZou1_TE_1550_eskid_380nm_200nm_80
314, 6987, TE, 1550, device, HangZou1_TE_1550_eskid_380nm_200nm_70
259, 6987, TE, 1550, device, HangZou1_TE_1550_eskid_380nm_200nm_60
94, 6987, TE, 1550, device, HangZou1_TE_1550_eskid_380nm_200nm_30
39, 6987, TE, 1550, device, HangZou1_TE_1550_eskid_380nm_200nm_20
39, 7142, TE, 1550, device, HangZou1_TE_1550_eskid_400nm_200nm_20
94, 7142, TE, 1550, device, HangZou1_TE_1550_eskid_400nm_200nm_30
259, 7142, TE, 1550, device, HangZou1_TE_1550_eskid_400nm_200nm_60
69, 2208, TE, 1550, device, gsun86_heater2_PSGC900T0.80F
369, 6664, TE, 1550, device, HangZou1_TE_1550_eskid_520nm_300nm_80
314, 6664, TE, 1550, device, HangZou1_TE_1550_eskid_520nm_300nm_70
369, 6354, TE, 1550, device, HangZou1_TE_1550_eskid_480nm_300nm_60
424, 6509, TE, 1550, device, HangZou1_TE_1550_eskid_480nm_300nm_80
149, 6664, TE, 1550, device, HangZou1_TE_1550_eskid_520nm_300nm_40
314, 6354, TE, 1550, device, HangZou1_TE_1550_eskid_480nm_300nm_50
424, 6354, TE, 1550, device, HangZou1_TE_1550_eskid_480nm_300nm_70
94, 6664, TE, 1550, device, HangZou1_TE_1550_eskid_520nm_300nm_30
259, 6354, TE, 1550, device, HangZou1_TE_1550_eskid_480nm_300nm_40
204, 6354, TE, 1550, device, HangZou1_TE_1550_eskid_480nm_300nm_30
149, 6354, TE, 1550, device, HangZou1_TE_1550_eskid_480nm_300nm_20
259, 6664, TE, 1550, device, HangZou1_TE_1550_eskid_520nm_300nm_60
39, 6354, TE, 1550, device, HangZou1_TE_1550_eskid_ref_480nm_300nm
204, 6664, TE, 1550, device, HangZou1_TE_1550_eskid_520nm_300nm_50
94, 6354, TE, 1550, device, HangZou1_TE_1550_eskid_ref_500nm_300nm
424, 6664, TE, 1550, device, HangZou1_TE_1550_eskid_ref_520nm_300nm
369, 6509, TE, 1550, device, HangZou1_TE_1550_eskid_500nm_300nm_80
314, 6509, TE, 1550, device, HangZou1_TE_1550_eskid_500nm_300nm_70
259, 6509, TE, 1550, device, HangZou1_TE_1550_eskid_500nm_300nm_60
204, 6509, TE, 1550, device, HangZou1_TE_1550_eskid_500nm_300nm_50
149, 6509, TE, 1550, device, HangZou1_TE_1550_eskid_500nm_300nm_40
39, 6509, TE, 1550, device, HangZou1_TE_1550_eskid_500nm_300nm_20
94, 6509, TE, 1550, device, HangZou1_TE_1550_eskid_500nm_300nm_30
39, 6664, TE, 1550, device, HangZou1_TE_1550_eskid_520nm_300nm_20
955, 4726, TE, 1550, device, MZI_1
946, 6989, TE, 1550, device, avram5_thermoE20rad015gap16top
485, 3214, TE, 1550, device, ik_ThermoOpticPhaseShifter_1
1836, 1150, TE, 1550, device, mehmetunlu_BendNewv02
1836, 1394, TE, 1550, device, mehmetunlu_BendNewv01
69, 3164, TE, 1550, device, gsun86_heater4_PSGC900T0.60F
944, 1711, TE, 1550, device, Vernier
424, 6186, TE, 1550, device, HangZou1_TE_1550_eskid_ref_460nm_300nm
94, 5876, TE, 1550, device, HangZou1_TE_1550_eskid_ref_440nm_300nm
149, 6031, TE, 1550, device, HangZou1_TE_1550_eskid_440nm_300nm_40
204, 6186, TE, 1550, device, HangZou1_TE_1550_eskid_460nm_300nm_50
94, 6031, TE, 1550, device, HangZou1_TE_1550_eskid_440nm_300nm_30
424, 6031, TE, 1550, device, HangZou1_TE_1550_eskid_420nm_300nm_80
39, 6031, TE, 1550, device, HangZou1_TE_1550_eskid_440nm_300nm_20
369, 6031, TE, 1550, device, HangZou1_TE_1550_eskid_440nm_300nm_80
39, 6186, TE, 1550, device, HangZou1_TE_1550_eskid_460nm_300nm_20
149, 5876, TE, 1550, device, HangZou1_TE_1550_eskid_420nm_300nm_20
149, 6186, TE, 1550, device, HangZou1_TE_1550_eskid_460nm_300nm_40
204, 6031, TE, 1550, device, HangZou1_TE_1550_eskid_440nm_300nm_50
259, 6186, TE, 1550, device, HangZou1_TE_1550_eskid_460nm_300nm_60
369, 5876, TE, 1550, device, HangZou1_TE_1550_eskid_420nm_300nm_60
314, 6186, TE, 1550, device, HangZou1_TE_1550_eskid_460nm_300nm_70
424, 5876, TE, 1550, device, HangZou1_TE_1550_eskid_420nm_300nm_70
94, 6186, TE, 1550, device, HangZou1_TE_1550_eskid_460nm_300nm_30
204, 5876, TE, 1550, device, HangZou1_TE_1550_eskid_420nm_300nm_30
369, 6186, TE, 1550, device, HangZou1_TE_1550_eskid_460nm_300nm_80
259, 6031, TE, 1550, device, HangZou1_TE_1550_eskid_440nm_300nm_60
314, 6031, TE, 1550, device, HangZou1_TE_1550_eskid_440nm_300nm_70
314, 5876, TE, 1550, device, HangZou1_TE_1550_eskid_420nm_300nm_50
259, 5876, TE, 1550, device, HangZou1_TE_1550_eskid_420nm_300nm_40
39, 5876, TE, 1550, device, HangZou1_TE_1550_eskid_ref_420nm_300nm
1400, 7358, TE, 1550, device, mehmetunlu_heatertransitionvtest03D02v02
1400, 7573, TE, 1550, device, mehmetunlu_heatertransitionv03v02
930, 6160, TE, 1550, device, avram5_thermoC015gap16top
930, 5906, TE, 1550, device, avram5_thermoC015gap14top
369, 4752, TE, 1550, device, HangZou1_TE_1550_eskid_340nm_200nm_80_1
314, 4752, TE, 1550, device, HangZou1_TE_1550_eskid_340nm_200nm_70_1
424, 4597, TE, 1550, device, HangZou1_TE_1550_eskid_300nm_200nm_80_1
149, 4442, TE, 1550, device, HangZou1_TE_1550_eskid_300nm_200nm_20_1
424, 4442, TE, 1550, device, HangZou1_TE_1550_eskid_300nm_200nm_70_1
39, 4442, TE, 1550, device, HangZou1_TE_1550_eskid_ref_300nm
259, 4442, TE, 1550, device, HangZou1_TE_1550_eskid_300nm_200nm_40_1
204, 4442, TE, 1550, device, HangZou1_TE_1550_eskid_300nm_200nm_30_1
369, 4442, TE, 1550, device, HangZou1_TE_1550_eskid_300nm_200nm_60_1
94, 4442, TE, 1550, device, HangZou1_TE_1550_eskid_ref_320nm
94, 4597, TE, 1550, device, HangZou1_TE_1550_eskid_320nm_200nm_30_1
259, 4752, TE, 1550, device, HangZou1_TE_1550_eskid_340nm_200nm_60_1
